url,title,featured,artist,artistBio,tags
93.jpg,Stampede,,Lili Castillo,TBD,"Nature, Black/White, Uplifting, Medium, Animals, Africa, Energy, Dust"
94.jpg,Zebras,,Lili Castillo,TBD,"Nature, Black/White, Uplifting, Medium, Animals, Africa, Love, Peaceful"
95.jpg,Cracked Paint,,Lanzgg,TBD,"Urban, Bright, Calm, Medium, Yellow, Buildings, Girl, Graffiti"
96.jpg,Rayos Luces,,Lanzgg,TBD,"Urban, Bright, Calm, Medium, Yellow, Buildings, Girl, Graffiti"
97.jpg,No Parking,,Lanzgg,TBD,"Urban, Bright, Calm, Low, Pink, Buildings, Door, Monotone"
98.jpg,Liquor Store,,Lanzgg,TBD,"Urban, Bright, Calm, Medium, Colorful, Liquor, Bicycle, Store"
99.jpg,Wooden Door,,Lanzgg,TBD,"Urban, Bright, Calm, Medium, Dog, Door, Yellow, Buildings"
100.jpg,Colorful Building,,Lanzgg,TBD,"Urban, Bright, Uplifting, Medium, Blue, Yellow, Pink, Door"
101.jpg,Coca Cola Wall,,Lanzgg,TBD,"Urban, Bright, Calm, Medium, Coca Cola, Red, Buildings, Door"
102.jpg,Blue and Pink,,Lanzgg,TBD,"Urban, Bright, Calm, Low, Blue, Pink, Buildings, Door"
103.jpg,Sleeping Dog,,Lanzgg,TBD,"Urban, Earth tones, Calm, Medium, Animals, Dog, Door, Buildings"
104.jpg,Blue Walls,,Lanzgg,TBD,"Urban, Bright, Calm, Medium, Red, Blue, Door, Buildings"
105.jpg,Yellow Store,,Lanzgg,TBD,"Urban, Bright, Uplifting, Medium, Store, Yellow, Door, Buildings"
106.jpg,Red,,Lanzgg,TBD,"Urban, Bright, Calm, Medium, Red, Graffiti, Door, Buildings"
107.jpg,Blue Door,,Lanzgg,TBD,"Urban, Bright, Calm, Low, Blue, Green, Door, Buildings"
108.jpg,Boarded Up,,Lanzgg,TBD,"Urban, Earth tones, Sad, Medium, Red, Yellow, Door, Buildings"
111.jpg,Claudio,,Looocurita,TBD,"Urban, Bright, Uplifting, Medium, Colorful, Graffiti, Animals, Red"
112.jpg,A Journey Through Time,,Ivy Ho,TBD,"Urban, Black/White, Uplifting, Medium, Train, Rails, Light, Reflexion"
113.jpg,Berries,,Ivy Ho,TBD,"Nature, Bright, Calm, Low, Berries, Red, Simple, White"
115.jpg,Kaleidoscope,,Ivy Ho,TBD,"Urban, Bright, Uplifting, Medium, Colorful, Yellow, Blue, Canoe"
116.jpg,Lady on Charles Bridge,,Ivy Ho,TBD,"Urban, Black/White, Sad, Medium, People, Street, Old, Reflexion"
117.jpg,Lets Go Exploring Today,,Ivy Ho,TBD,"Nature, Bright, Calm, Low, Boat, Sea, Blue, Quote"
119.jpg,Like a Dream,,Ivy Ho,TBD,"Nature, Black/White, Calm, Medium, Tree, Light, Simple, Reflexion"
122.jpg,Paris Rooftops,,Ivy Ho,TBD,"Urban, Bright, Calm, Medium, Window, Buildings, Paris, White"
124.jpg,Pink Dahlia,,Ivy Ho,TBD,"Nature, Earth tones, Uplifting, Medium, Purple, Flower, Green, Closeup"
127.jpg,She Will Move Mountains,,Ivy Ho,TBD,"Nature, Earth tones, Calm, Medium, Mountain, Cloud, Tree, Quote"
128.jpg,Summer Dreams,,Ivy Ho,TBD,"Nature, Earth tones, Calm, Medium, Yellow, Flower, Bright, Closeup"
129.jpg,"Sunrise at Changi Beach, Singapore",,Ivy Ho,TBD,"Nature, Earth tones, Calm, Low, Sunset, Sea, Dark, Blue"
130.jpg,This Heart of Mine,,Ivy Ho,TBD,"Nature, Earth tones, Calm, Low, Mountain, Green, Reflexion, Quote"
